#Ih     Uh      Ih2     Uh2
0       0.002   0       0.003
0.5     0.002   0.5     0.003
1       0.003   1       0.002
1.5     0.004   1.5     0.002
2       0.004   2       0.002
2.5     0.005   2.5     0.001
3       0.006   3       0.001
3.5     0.006   3.5     0.001
4       0.006   4       0
4.5     0.007   4.5     0
4.72    0.007   4.707   0
